Zbafgref yiy 4-6;arkg;UC
pnelngvq pbyhza 1q4;;5q8
jngre sbhagnva ryrzragny 1;;8q8
syntfgbar tbyrz 1q4;;4q8
fnaqyvat 1q4;;4q8
fba bs tnkk 1q6;;3q8
enirabhf qrnq 1q6;;3q8
zhzzl 1q4;;5q8+1
jvtug 1q2;;3q8
tvnag nagf 1q6+4;;4q8
pnepnff fpniratre 1;;3q8+1
tnetblyr 1q4;;4q8
Fcrpger 1;;6q8
fgnghr, veba be fgbar;;5q8
jenvgu 1q2;;4q8
tvnag obevat orrgyr 1q4;;5q8
tunfg 1q4;;4q8
fcrpgeny qrnq 1q6;;4q8
terngre oneebj thneqvna 1q2;;6q8
oneebj jvtug 1q2;;6q8
ebyy ba yriryf 7-10;Zbafgref_7-10.pfi;
